kurs_resmi,kurs_baslik,kurs_aciklama,udemy_link,site_link
https://img-a.udemycdn.com/course/240x135/1258436_2dc3_4.jpg?lgYa61aZQHRe-LvfhPPI_sLLX_fpypkjAf7RNYCUEEww2j4oSXv2ptZW5EuPvlUMbJpJVCAEA32QxCAa4E-64FmgSXw_DKYpXmKltJ-ZzJSfVQ9Kvdi-oUr-cB-q5Soy,Komple Uygulamalı Web Geliştirme Eğitimi,"Sıfırdan ileri seviyeye 'Web Geliştirme': Html, Css, Sass, Flexbox, Bootstrap, Javascript, Angular, JQuery, Asp.Net Mvc&Core Mvc",https://www.udemy.com/course/komple-web-developer-kursu/?couponCode=DEAL35,https://www.sadikturan.com/komple-web-gelistirme-kursu
https://img-a.udemycdn.com/course/240x135/2463492_8344_3.jpg?6xH0_ruFmaJizpuzgMfMNrHI0H9ehXxAj7w9Z-oUsdAtyaWIVnLI9Hzx7wRlQAwfA3XOygHxXl2eOLmj9rkcyIzc_siPHtfD2AeZkyP_PH-OtW1QPe-S1cDMueYJLA9e,Python ile Sıfırdan İleri Seviye Python Programlama,"Sıfırdan İleri Seviye Python Dersleri.Veritabanı,Veri Analizi,Bot Yazımı,Web Geliştirme(Django)",https://www.udemy.com/course/python-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/python-dersleri
https://img-b.udemycdn.com/course/240x135/1662526_fc1c_3.jpg?secure=WlPoe1x3tDV1zmtmTU-zyg%3D%3D%2C1603467920,Sıfırdan İleri Seviye Modern Javascript Dersleri ES7+,"Modern javascript dersleri ile (ES6 & ES7+) Nodejs, Angular, React ve VueJs için sağlam bir temel oluşturun.",https://www.udemy.com/course/modern-javascript-kursu/?couponCode=DEAL35,https://www.sadikturan.com/javascript-dersleri
https://img-a.udemycdn.com/course/240x135/1944162_74f2_2.jpg?15rX7qCjfwxkddWiXb6Ou0hsApi8qMwHNvV-VIDy4w1o787VoIYV1Kpjyx5Z_G6TtnHpG87JCW5B2Ej2fWAPar1elf1UBdzPbzzdH3qTB7YwJ3adMNvbN1X_gVMMSdyX,Nodejs Dersleri: Baştan Sona FullStack Web Geliştirme,"Sıfırdan ileri seviyeye 'Web Geliştirme': Front-end (HTML, CSS, Javascript,Bootstrap) & Back-end (NodeJs)",https://www.udemy.com/course/komple-web-gelistirme-kursu-nodejs/?couponCode=DEAL35,https://www.sadikturan.com/nodejs-dersleri
https://img-b.udemycdn.com/course/240x135/3366564_2236_5.jpg?secure=1zBYPpgcHKQQwEzodP-E9w%3D%3D%2C1603435084,"Sıfırdan Uygulamalı React Geliştirme: Hooks, Redux & Firebase","En popüler frontend kütüphanesi React'i baştan sona uygulamalı projelerle öğren. Hooks, Redux, Webpack, Firebase ve Fazlası.",https://www.udemy.com/course/react-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/react-dersleri
https://img-a.udemycdn.com/course/240x135/2363350_4d3d_5.jpg?MxyTrR1E3cHQsqUr0e4pd4t7n9_6Yr4K_p8vzUmYiIFZg_gHZD_9PXNsqb_hA9Y6oWfdMcpgJNRejn26whfw9_xpi6AtylF3XT0zsGBEgkSO54qpqVtduGkBlQrkCJGL,Angular Dersleri:Sıfırdan Uygulamalı Projelerle Öğren,En popüler front-end framework'ü Angular 'ı sıfırdan en ileri seviye kadar öğrenin.,https://www.udemy.com/course/angular-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/angular-dersleri
https://img-a.udemycdn.com/course/240x135/1440660_b7a4_3.jpg?Hvp7fwzrDYdSY2vvUz-0QkxM_f6JMyw5TGaNKfFVLzx5ZtG5roxQw2aqOQGFBQrbrzipe0AWl4EMlrYVZnxRwVX8VlFoZZmUaeMo36EMSdVw94Bv4BxL9bNMMp4rbXJ6,Asp.Net Core Mvc Kursu: Baştan Sona Uygulamalı Projeler,Asp.net core mvc dersleri ile sıfırdan ileri seviyeye uygulamalı projelerle öğrenin!,https://www.udemy.com/course/asp-net-core-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/asp-net-core-dersleri
https://img-b.udemycdn.com/course/240x135/2349954_d803_2.jpg?secure=VCCGd4EHqxwDLn6pJrzfLg%3D%3D%2C1603435084,E-Ticaret Kursu: Katmanlı Mimari ile Core Mvc Dersleri,Baştan Sona Core Mvc Dersleri ile Kendi E-Ticaret Siteni Mimari Bakış Açısıyla Hazırla.,https://www.udemy.com/course/aspnet-core-mvc-kursu/?couponCode=DEAL35,https://www.sadikturan.com/katmanli-mimari-eticaret-kursu-asp-net-core-mvc
https://img-a.udemycdn.com/course/240x135/3118920_55f8_3.jpg?SAUj8_vl8K6Fu2TqLK7WybpIouYlbCSDeDNtaKVd7yYDyiAoarzn_XZBayQz31aJdhGQTMljikT9ACblEMBIATTK4NfpK5roXl5GikETuVshgEUjliYvvqYP-Eu2gV2u,.Net Core Web Api & Angular ile Proje Geliştirme Kursu,Sıfırdan asp.net core web api ve angular 9 kullanarak baştan sona proje geliştiyoruz.,https://www.udemy.com/course/aspnet-core-web-api-angular-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/aspnet-core-web-api-angular-dersleri
https://img-a.udemycdn.com/course/240x135/2907528_f51f_2.jpg?Uh9XEnuxuneJKglY-ETArT2x89L3cH7mLmURDpdCmMIk59LHv7qDInKp6i7z0w50yOmUY-HCPg0epvtjP4T4mSpoVp5nzhQQxn9qhCP1m1mlMt24DwqUQaW6TgnuxnsG,Sıfırdan Uygulamalı SQL Veri Tabanı Dersleri: MySQL & MsSQL,En temelden başlayarak sql veri tabanı tasarımını profesyonel düzeyde öğrenerek etkin sql sorguları yazabilirsin.,https://www.udemy.com/course/sql-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/sql-dersleri
https://img-a.udemycdn.com/course/240x135/2624596_8d26.jpg?Et6VkGIdtSnMNTfu7T7WELXxgReBlqbhtZVzAqZ__mSMdp939wFWCTaZ_GYgFmkxfV0lK8ne4Xm4hDLGXMVOjq2S_NE_EsNEk4IK0dDQd8hgWGbyYFH9HckxH_DaVg,Mobil Uygulama Kursu: Xamarin ile Android ve IOS Geliştirme,C# programlama yeteneğini Xamarin ile birleştirerek Cross Platform Native Android ve IOS uygulaması geliştirebilirsin.,https://www.udemy.com/course/xamarin-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/xamarin-dersleri
https://img-a.udemycdn.com/course/240x135/3080074_fc14_2.jpg?B3TEo3PNFTil46knQ3OPnwoLGj-XlI3ZkNli5E6QRjssih2QudNuv9LLpYN3YbMdWuyki8yngs6gEbnxZJ6a8KMW1iuhca0gn4q9Eq4BDbyDTdm9waYdXwKa9D1_1W2Q,Bootstrap 5 ile Premium Web Tasarım Proje Geliştirme Kursu,Bootstrap 5 kütüphanesini baştan sona öğrenerek kısa zamanda premium web tasarımlarını kolaylıkla yapabilirsin.,https://www.udemy.com/course/bootstrap-dersleri/?couponCode=DEAL35,https://www.sadikturan.com/bootstrap-dersleri
https://img-a.udemycdn.com/course/240x135/1397898_cbbb_3.jpg?eDNVrNaYzyuhv8mjDfqlTmtUTXBJzMvGE-_kXqjElX8y_EMOSbIJ-aiTP6TVzJ0jrgfOXWaLaUqK5VmpOWn4smQ6QKyoi1XKQWFOapRVpaw8PQVS_uhFblRjV4QRL-4F,C# Kursu: Yeni Başlayanlar için C# Programlama Dersleri,Sıfırdan programlama mantığı dahil bilmeniz gereken en temel C# programlama derslerini kısa zamanda öğrenin!,https://www.udemy.com/course/komple-uygulamali-programlama-egitimi-yeni-baslayanlar/?couponCode=DEAL35,https://www.sadikturan.com/csharp-dersleri
https://img-a.udemycdn.com/course/240x135/1685804_4b1a_2.jpg?ccjYQ1JsWsQlOR5ImfJTMyKR875amknF_i2xJoNqcfZqyf87gixBPQvB5VDfcq1QxEwrU-sOqoWfzz-cyKE1Mp_1w2AkK2WXWCYK2aMeU1vr5EvqvJ8hEE72xpvt23Ox,Entity Framework Core Kursu: Baştan Sona Uygulamalı Projeler,Entity Framework Core'un tüm detaylarını asp.net core mvc projeleriyle kısa zamanda öğrenin.,https://www.udemy.com/course/entity-framework-core/?couponCode=DEAL35,https://www.sadikturan.com/entity-framework-core-dersleri
